V1,V2,from
outcome,weight,2
outcome,bmi,2
outcome,sflt1,1
outcome,sflt1_plgf,1
outcome,uta_pi_r,2
outcome,uta_pi_l,2
outcome,uta_pi,2
outcome,ga,2
outcome,bw,2
weight,bmi,1
weight,sflt1,1
weight,sflt1_plgf,1
bmi,uta_pi_r,1
bmi,uta_pi_l,1
bmi,uta_pi,1
bmi,sflt1,1
bmi,sflt1_plgf,1
uta_pi_r,uta_pi_l,1
uta_pi_r,uta_pi,1
uta_pi_r,ga,2
uta_pi_r,bw,2
uta_pi_r,sflt1,1
uta_pi_r,sflt1_plgf,1
uta_pi_l,uta_pi,1
uta_pi_l,ga,2
uta_pi_l,bw,2
uta_pi_l,sflt1,1
uta_pi_l,sflt1_plgf,1
uta_pi,ga,2
uta_pi,bw,2
uta_pi,sflt1,1
uta_pi,sflt1_plgf,1
ga,bw,1
ga,sflt1,1
ga,sflt1_plgf,1
bw,sflt1,1
bw,sflt1_plgf,1
sflt1,sflt1_plgf,1
