V1,V2,from
outcome,weight,NA
outcome,bmi,NA
outcome,sflt1,NA
outcome,sflt1_plgf,NA
outcome,uta_pi_r,NA
outcome,uta_pi_l,NA
outcome,uta_pi,NA
outcome,ga,NA
outcome,bw,NA
weight,bmi,NA
weight,sflt1,NA
weight,sflt1_plgf,NA
bmi,uta_pi_r,NA
bmi,uta_pi_l,NA
bmi,uta_pi,NA
bmi,sflt1,NA
bmi,sflt1_plgf,NA
uta_pi_r,uta_pi_l,NA
uta_pi_r,uta_pi,NA
uta_pi_r,ga,NA
uta_pi_r,bw,NA
uta_pi_r,sflt1,NA
uta_pi_r,sflt1_plgf,NA
uta_pi_l,uta_pi,NA
uta_pi_l,ga,NA
uta_pi_l,bw,NA
uta_pi_l,sflt1,NA
uta_pi_l,sflt1_plgf,NA
uta_pi,ga,NA
uta_pi,bw,NA
uta_pi,sflt1,NA
uta_pi,sflt1_plgf,NA
ga,bw,NA
ga,sflt1,NA
ga,sflt1_plgf,NA
bw,sflt1,NA
bw,sflt1_plgf,NA
sflt1,sflt1_plgf,NA
